一,"one, one radical (no.1)"
二,"two, two radical (no. 7)"
三,three
四,four
五,five
六,six
七,seven
八,"eight, eight radical (no. 12)"
九,nine
十,ten
日,"day, sun, Japan, counter for days"
月,"month, moon"
白,white
百,hundred
中,"in, inside, middle, mean, center"
千,thousand
上,"above, up"
下,"below, down, descend, give, low, inferior"
見,"see, hopes, chances, idea, opinion, look at, visible"
万,"ten thousand, 10,000"
左,left
右,right
子,"child, sign of the rat, 11PM-1AM, first sign of Chinese zodiac"
女,"woman, female"
母,mother
小,"little, small"
大,"large, big"
外,outside
名,"name, noted, distinguished, reputation"
川,"stream, river, river or three-stroke river radical (no. 47)"
水,water
土,"soil, earth, ground, Turkey"
時,"time, hour"
火,fire
木,"tree, wood"
本,"book, present, main, origin, true, real, counter for long cylindrical things"
先,"before, ahead, previous, future, precedence"
車,car
前,"in front, before"
書,write
話,"tale, talk"
語,"word, speech, language"
読,read
天,"heavens, sky, imperial"
北,north
毎,every
東,east
午,"noon, sign of the horse, 11AM-1PM, seventh sign of Chinese zodiac"
国,country
丈,"length, ten shaku, measure, Mr., Ms., height, stature, all (one has), only, that's all, merely"
友,friend
出,"exit, leave, go out, come out, put out, protrude"
山,mountain
入,"enter, insert"
分,"part, minute of time, segment, share, degree, one's lot, duty, understand, know, rate, 1%, chances, shaku/100"
男,male
行,"going, journey, carry out, conduct, act, line, row, bank"
人,person
休,"rest, day off, retire, sleep"
何,what
年,"year, counter for years"
半,"half, middle, odd number, semi-, part-"
父,father
後,"behind, back, later"
生,"life, genuine, birth"
今,now
西,"west, Spain"
南,south
聞,"hear, ask, listen"
円,"circle, yen, round"
来,"come, due, next, cause, become"
気,"spirit, mind, air, atmosphere, mood"
学,"study, learning, science"
校,"exam, school, printing, proof, correction"
高,"tall, high, expensive"
食,"eat, food"
電,electricity
雨,rain
間,"interval, space"
長,"long, leader, superior, senior"
金,gold